"filename", "language", "HTML", "JSON", "JavaScript", "CSS", "CSV", "comment", "blank", "total"
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\MultipleOfVolume.html", "HTML", 230, 0, 0, 0, 0, 16, 34, 280
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\PGdensity.html", "HTML", 230, 0, 0, 0, 0, 16, 35, 281
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\PGviscosity.html", "HTML", 230, 0, 0, 0, 0, 16, 34, 280
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\PPH.html", "HTML", 288, 0, 0, 0, 0, 16, 49, 353
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\about.html", "HTML", 251, 0, 0, 0, 0, 17, 37, 305
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\absoluteDensity.html", "HTML", 230, 0, 0, 0, 0, 16, 34, 280
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\css\bootstrap.css", "CSS", 0, 0, 0, 9102, 0, 27, 1708, 10837
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\css\bootstrap.min.css", "CSS", 0, 0, 0, 2, 0, 5, 0, 7
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\css\print.css", "CSS", 0, 0, 0, 2, 0, 1, 1, 4
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\css\style.css", "CSS", 0, 0, 0, 763, 0, 53, 151, 967
"c:\Users\bckas\Documents\Allen Aircraft Jet Fuel Calculators\KasperCalc - Based On Tooplate Weddinglite Theme\KasperCalc - Rev 15.2  Fixed the Hamburger\csvData\Fuels Raw Data-UTF8.csv", "CSV", 0, 0, 0, 0, 455, 0, 1, 456
