"Parker O-Ring Chemical Compatibility Chart — Compatibility Tables for Gases, Fluids, Solids","","","","","","","","","","","","","","","","","","","","",""
"Source: Parker O-Ring & Engineered Seals Division, ORD 5700 O-Ring Handbook  |  2135 compounds  |  Ratings: 1=Satisfactory, 2=Fair, 3=Doubtful, 4=Unsatisfactory, X=Insufficient Data","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Compound / Fluid","Compound Code","NBR
(Nitrile)","HNBR
(Hydrog. Nitrile)","EPDM
(Ethylene Propylene)","FKM
(Fluorocarbon)","FKM
(Hifluor)","FFKM
(Perfluoroelastomer)","FEPM
(Aflas)","CR
(Neoprene)","SBR
(Styrene-Butadiene)","ACM
(Polyacrylate)","AU/EU
(Polyurethane)","IIR
(Butyl)","BR
(Butadiene)","IR
(Isoprene)","NR
(Natural Rubber)","CSM
(Hypalon)","FVMQ
(Fluorosilicone)","MQ/VMQ/PVMQ
(Silicone)","",""
"A-A-52624","E1267-80","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"A-A-59290","E1267-80","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Abietic Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Acetaldehyde","E0540-80","3","3","2","4","1","1","3","3","3","4","4","2","2","2","2","3","4","2","",""
"Acetamide","C0873-70","1","1","1","3","1","1","2","1","4","4","4","2","4","4","4","2","1","2","",""
"Acetanilide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Acetic Acid, 30%","E0540-80","X","X","1","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Acetic Acid, 5%","E0540-80","2","2","1","1","1","1","1","1","2","4","4","1","2","2","2","1","2","1","",""
"Acetic Acid, Glacial","E0540-80","2","2","1","2","1","1","3","4","2","4","4","2","2","2","2","3","2","1","",""
"Acetic Acid, Hot, High Pressure","FF200-75","4","4","3","4","2","1","3","4","4","4","4","4","4","4","4","3","4","3","",""
"Acetic Anhydride","C0873-70","3","4","2","4","1","1","2","2","2","4","4","2","2","2","2","2","4","2","",""
"Acetoacetic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Acetone","E0540-80","4","4","1","4","2","1","2","4","4","4","4","1","4","4","4","3","4","4","",""
"Acetone Cyanohydrin","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Acetonitrile (Methyl Cyanide)","E0540-80","3","3","1","3","1","1","1","X","X","X","X","X","X","X","X","X","X","X","",""
"Acetophenetidine","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
