Compound / Fluid,Notes / Source,HDPE,LDPE,PA,PC,PETG,PMP,POM,PP,PS,PSU,PVC-H,PVC-S,SAN,ECTFE-ETFE,FEP,PTFE,PVDF
Acetaldehyde,C H O · 000075-07-0 · techn. pure,3,2,2,4,4,2,2,3,4,4,4,x,4,2,1,1,4
Acetamide,C H NO · 000060-35-5 · saturated,1,1,1,4,x,1,1,1,1,4,4,x,1,1,1,1,1
Acetic acid,C H O · 000064-19-7 · 50 %,1,1,4,1,x,1,3,1,2,2,1,x,x,1,1,1,1
Acetic acid,C H O · 000064-19-7 · 100 %,x,x,4,4,4,3,4,1,x,x,x,x,x,x,1,1,1
Acetic acid,C H O · 000064-19-7 · 90%,1,1,4,4,4,1,4,1,4,3,1,4,4,1,1,1,1
Acetic acid,C H O · 000064-19-7 · 10 %,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1
Acetic acid,C H O · 000064-19-7 · 5 %,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1
Acetic anhydride,C H O · 000108-24-7 · techn. pure,4,3,3,4,x,4,2,1,4,4,4,4,x,x,1,1,4
Acetone,C H O · 000067-64-1,1,3,1,4,4,2,1,1,4,4,4,x,4,2,1,1,3
Acetonitrile,C H N · 000075-05-8,1,1,1,4,4,3,3,3,4,4,4,x,x,1,1,1,1
Acetophenone,C H O · 000098-86-2,x,1,1,4,4,4,1,1,x,x,4,4,x,1,x,1,1
Acetyl chloride,C H ClO · 000075-36-5 · 100 %,x,x,4,4,4,4,4,3,x,x,x,x,x,x,1,1,1
Acetylene,C H · 000074-86-2 · 100 %,1,1,1,1,1,x,1,1,x,x,2,4,3,1,1,1,1
Acetylsalicylic acid,C H O · 000050-78-2 · 100 %,x,x,1,x,2,x,3,1,1,x,x,x,1,1,1,1,1
Acrylonitrile,C H N · 000107-13-1,1,1,1,4,4,3,3,3,4,4,4,4,x,1,1,1,3
Adipic acid,C H O · 000124-04-9 · saturated,1,1,x,1,2,1,1,1,1,2,1,1,x,1,1,1,1
