Ethylene Glycol,
A,ABS
B,Acetal
A,CPVC
R,FEP
R,"Nylon 6, 66"
R,HDPE
A,Polypropylene
A,PTFE
R,PVC Type I
R,PVC Type II
A,PVDF
A,EPDM
A,Kel–F
A,Neoprene
A,Nitrile
R,Polyurethane
A,Silicone
B,Tygon®
R,Viton–A
A,Ceramic
-,Silica
G,304 Stainless
G,316 Stainless
G,Carbon Steel
E,Hastelloy–C
E,Aluminum
G,Brass
G,Copper
,
,
For All Non-Metals,For Metals
R = Resistant,E <2 mils Penetration/Year
A = Excellent – No effect,G <20 mils Penetration/Year
B = Good – Minor effect,S <50 mils Penetration/Year
C = Fair – Moderate effect,U >50 mils Penetration/Year (1 mil = .001 inch)
U = Unsatisfactory,A = Excellent – No effect*
X = Conflicting Data,B = Good – Minor effect*
– = No Data Available,C = Fair – Moderate effect*
*No corrision rate reported,
