Category,Fluid / Compound,Compound Code
Acids (General),Abietic Acid,V3819-75
Acids (General),"Acetic Acid, 30%",E0540-80
Acids (General),"Acetic Acid, 5%",E0540-80
Acids (General),"Acetic Acid, Glacial",E0540-80
Acids (General),"Acetic Acid, Hot, High Pressure",FF200-75
Acids (General),Acetoacetic Acid,E0540-80
Acids (General),Acetylsalicylic Acid,V1164-75
Acids (General),Aconitic Acid,V3819-75
Acids (General),Acrylic Acid,V1164-75
Acids (General),Adipic Acid,E0540-80
Acids (General),Aliphatic Dicarboxylic Acid,V1164-75
Acids (General),Alkanesulfonic Acid,N0674-70
Acids (General),Alkylnaphthalene Sulfonic Acid,N0674-70
Acids (General),Aminobenzene Sulfonic Acid,V3819-75
Acids (General),Aminobenzoic Acid,V3819-75
Acids (General),Aminosalicylic Acid,V3819-75
Acids (General),Anthranilic Acid,V3819-75
Acids (General),Arachidic Acid,V3819-75
Acids (General),Arsenic Acid,E0540-80
Acids (General),Ascorbic Acid,E0540-80
Acids (General),Aspartic Acid,E0540-80
Acids (General),Benzaldehyde Disulfonic Acid,FF200-75
Acids (General),Benzenesulfonic Acid 10%,V1164-75
Acids (General),Benzidine 3 Sulfonic Acid,V1164-75
Acids (General),Benzilic Acid,V1164-75
Acids (General),Benzoic Acid,V1164-75
Acids (General),Benzoylsulfonilic Acid,V1164-75
Acids (General),Boric Acid,N0674-70
Acids (General),Bromic Acid,E0540-80
Acids (General),Butylbenzoic Acid,V1164-75
Acids (General),Butyric Acid,V1164-75
Acids (General),Calcium Phosphate Acid,E0540-80
Acids (General),Camphoric Acid,V1164-75
Acids (General),Capric Acid,N0674-70
Acids (General),Caproic Acid,N0674-70
Acids (General),Carbolic Acid (Phenol),V0494-70
Acids (General),Carbonic Acid,E0540-80
Acids (General),Chaulmoogric Acid,V3819-75
Acids (General),Chloric Acid,E0540-80
Acids (General),Chloroacetic Acid,E0540-80
Acids (General),Chloroamino Benzoic Acid,E0540-80
Acids (General),Chloroethane Sulfonic Acid,E0540-80
Acids (General),Chlorosulfonic Acid,Factory
Acids (General),Chlorotoluene Sulfonic Acid,E0540-80
Acids (General),Chromic Acid,V1164-75
Acids (General),Cinnamic Acid,V1164-75
