Frost Protection vs % V/V Prorylene Glycol,,,,,,,
% V/V Prorylene Glycol,Burst (Temp �C),Protection Temperature (Temp �C),Freezing Point (Temp �C),,,,
0,0,0,0,,,,
5,-2.1,-2,-1.9,,,,
10,-4,-3.5,-3,,,,
15,-7,-6,-5,,,,
20,-9.3,-7.8,-7.2,,,,
25,-13.5,-12,-9.8,,,,
30,-17,-14.6,-12.5,,,,
35,-22,-18.5,-16,,,,
40,-27.5,-23.5,-20,,,,
45,-35.5,-30.5,-25.5,,,,
50,-43.5,-37.5,-32,,,,
,,,,,,,
"Freezing point according to ASTM D 1177 is the temperature for the first ice crystal formation.
 DIN 51583 normative establishes the temperature from the product does not flow and there is danger for the circuit
integrity.
 Between both temperatures exists a mixture of ice crystals and not-frozen fluid that flows without volume increase,
thus, without bursting problems.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Prandtl Number vs %V/V Propylene Glycol,,,,,,,
Temperature (�C),25% Prandtl Number,,,,,,
-10,80,,,,,,
0,50,,,,,,
10,30,,,,,,
20,20,,,,,,
30,15,,,,,,
40,11,,,,,,
50,8.5,,,,,,
60,7,,,,,,
70,5.5,,,,,,
80,4.7,,,,,,
90,4.2,,,,,,
100,3.8,,,,,,
,,,,,,,
Temperature (�C),30% Prandtl Number,,,,,,
-14,150,,,,,,
-10,115,,,,,,
0,70,,,,,,
10,40,,,,,,
20,25,,,,,,
30,18,,,,,,
40,13,,,,,,
50,10,,,,,,
60,8,,,,,,
70,6.5,,,,,,
80,5.3,,,,,,
90,4.7,,,,,,
100,4.2,,,,,,
,,,,,,,
Temperature (�C),35% Prandtl Number,,,,,,
-17,230,,,,,,
-10,150,,,,,,
0,85,,,,,,
10,50,,,,,,
20,31.5,,,,,,
30,22,,,,,,
40,16.5,,,,,,
50,11.9,,,,,,
60,9,,,,,,
70,7.5,,,,,,
80,6.1,,,,,,
90,5.2,,,,,,
100,4.5,,,,,,
,,,,,,,
Temperature (�C),40% Prandtl Number,,,,,,
-22,480,,,,,,
-20,395,,,,,,
-10,200,,,,,,
0,110,,,,,,
10,63,,,,,,
20,40,,,,,,
30,28,,,,,,
40,20,,,,,,
50,14.5,,,,,,
60,10.5,,,,,,
70,8.5,,,,,,
80,7,,,,,,
90,5.8,,,,,,
100,4.9,,,,,,
,,,,,,,
Temperature (�C),45% Prandtl Number,,,,,,
-28,1100,,,,,,
-20,570,,,,,,
-10,280,,,,,,
0,150,,,,,,
10,80,,,,,,
20,50,,,,,,
30,32,,,,,,
40,23,,,,,,
50,17,,,,,,
60,13,,,,,,
70,10,,,,,,
80,8,,,,,,
90,6.5,,,,,,
100,5.4,,,,,,
,,,,,,,
Temperature (�C),50% Prandtl Number,,,,,,
-33,2800,,,,,,
-30,1800,,,,,,
-20,780,,,,,,
-10,350,,,,,,
0,180,,,,,,
10,100,,,,,,
20,62,,,,,,
30,40,,,,,,
40,28,,,,,,
50,20,,,,,,
60,15,,,,,,
70,12,,,,,,
80,8.9,,,,,,
90,7.3,,,,,,
100,6,,,,,,
,,,,,,,
Temperature (�C),Freeze Curve,,,,,,
-10,80,,,,,,
-14,150,,,,,,
-17,230,,,,,,
-22,480,,,,,,
-28,1100,,,,,,
-33,2800,,,,,,
,,,,,,,
Thermal Expansion Coefficient (B*10-5 1/K),,,,,,,
Temperature (�C),25% Prandtl Number,,,,,,
-10,22,,,,,,
0,33,,,,,,
10,41.5,,,,,,
20,48,,,,,,
30,54,,,,,,
40,58.5,,,,,,
50,62,,,,,,
60,64.5,,,,,,
70,67,,,,,,
80,68.5,,,,,,
90,69,,,,,,
100,69.5,,,,,,
,,,,,,,
Temperature (�C),30% Prandtl Number,,,,,,
-13,22.5,,,,,,
-10,27,,,,,,
0,38,,,,,,
10,46,,,,,,
20,53,,,,,,
30,58,,,,,,
40,63,,,,,,
50,65,,,,,,
60,67.5,,,,,,
70,69.5,,,,,,
80,70.5,,,,,,
90,72,,,,,,
100,72.5,,,,,,
,,,,,,,
Temperature (�C),35% Prandtl Number,,,,,,
-18,21.8,,,,,,
-10,32,,,,,,
0,43,,,,,,
10,50.5,,,,,,
20,57,,,,,,
30,62,,,,,,
40,66,,,,,,
50,68,,,,,,
60,71.5,,,,,,
70,73,,,,,,
80,73.5,,,,,,
90,74,,,,,,
100,74.9,,,,,,
,,,,,,,
Temperature (�C),40% Prandtl Number,,,,,,
-23,19,,,,,,
